company_name,symbol,initial_investment,2022-02-08,2024-02-07,no_shares,current_value,change_percentage,rank
Comcast Corporation Class A,CMCSA,10000.0,49.21,42.86,203.21,8709.61,-12.9,74
Danaher Corporation,DHR,10000.0,285.62,246.64,35.01,8635.25,-13.65,75
Prologis Inc.,PLD,10000.0,151.19,129.09,66.14,8538.26,-14.62,76
CME Group Inc. Class A,CME,10000.0,241.41,205.46,41.42,8510.83,-14.89,77
Medtronic Plc,MDT,10000.0,104.21,87.16,95.96,8363.88,-16.36,78
Wells Fargo & Company,WFC,10000.0,58.75,48.48,170.21,8251.91,-17.48,79
Qualcomm Incorporated,QCOM,10000.0,178.59,145.89,55.99,8168.99,-18.31,80
Citigroup Inc.,C,10000.0,67.12,54.54,148.99,8125.74,-18.74,81
Morgan Stanley,MS,10000.0,106.35,86.0,94.03,8086.51,-19.13,82
Altria Group Inc,MO,10000.0,50.42,40.26,198.33,7984.93,-20.15,83
American Tower Corporation,AMT,10000.0,245.32,193.62,40.76,7892.55,-21.07,84
Verizon Communications Inc.,VZ,10000.0,52.82,40.42,189.32,7652.4,-23.48,85
NextEra Energy Inc.,NEE,10000.0,75.46,56.38,132.52,7471.51,-25.28,86
Bristol-Myers Squibb Company,BMY,10000.0,65.89,48.64,151.77,7382.0,-26.18,87
AT&T Inc.,T,10000.0,23.94,17.33,417.71,7238.93,-27.61,88
NIKE Inc. Class B,NKE,10000.0,143.53,103.79,69.67,7231.24,-27.69,89
Walt Disney Company,DIS,10000.0,142.48,99.14,70.19,6958.17,-30.42,90
Target Corporation,TGT,10000.0,212.95,146.73,46.96,6890.35,-31.1,91
CVS Health Corporation,CVS,10000.0,110.83,76.05,90.23,6861.86,-31.38,92
Bank of America Corp,BAC,10000.0,49.38,33.18,202.51,6719.32,-32.81,93
Charles Schwab Corp,SCHW,10000.0,94.96,62.43,105.31,6574.35,-34.26,94
United Parcel Service Inc. Class B,UPS,10000.0,225.2,147.24,44.4,6538.19,-34.62,95
Tesla Inc,TSLA,10000.0,307.33,187.58,32.54,6103.54,-38.96,96
Crown Castle International Corp,CCI,10000.0,177.49,106.87,56.34,6021.18,-39.79,97
3M Company,MMM,10000.0,162.41,93.84,61.57,5777.97,-42.22,98
Pfizer Inc.,PFE,10000.0,51.7,27.56,193.42,5330.75,-46.69,99
PayPal Holdings Inc.,PYPL,10000.0,120.26,63.24,83.15,5258.61,-47.41,100
